Gamma	Asphericity	Radius	Volume	Area	MorseEnergy	NormalityEn	CircularityEn	TotalOPSEnergy	RMSAngleDeficit
300000	0.00348465	2.21432	41.2355	60.6218	-210	0.0106863	0.00494542	-209.984	0.427424
295880	0.00348463	2.21432	41.2355	60.6218	-210	0.0108351	0.00501426	-209.984	0.427423
291816	0.00348461	2.21432	41.2356	60.6218	-210	0.010986	0.00508406	-209.984	0.427422
287808	0.00348459	2.21432	41.2356	60.6218	-210	0.011139	0.00515482	-209.984	0.42742
283855	0.00348457	2.21432	41.2356	60.6218	-210	0.0112941	0.00522658	-209.983	0.427419
279957	0.00348455	2.21432	41.2356	60.6218	-210	0.0114514	0.00529933	-209.983	0.427418
276112	0.00348453	2.21432	41.2356	60.6218	-210	0.0116108	0.00537309	-209.983	0.427416
272320	0.00348451	2.21432	41.2356	60.6218	-210	0.0117725	0.00544788	-209.983	0.427415
268580	0.00348449	2.21432	41.2356	60.6218	-210	0.0119364	0.00552371	-209.983	0.427414
264891	0.00348447	2.21432	41.2356	60.6218	-210	0.0121027	0.00560059	-209.982	0.427412
261253	0.00348444	2.21432	41.2357	60.6218	-210	0.0122712	0.00567855	-209.982	0.427411
257665	0.00348442	2.21432	41.2357	60.6218	-210	0.0124421	0.00575759	-209.982	0.427409
254126	0.0034844	2.21432	41.2357	60.6218	-210	0.0126153	0.00583773	-209.982	0.427408
250636	0.00348438	2.21432	41.2357	60.6218	-210	0.012791	0.00591898	-209.981	0.427406
247194	0.00348435	2.21432	41.2357	60.6218	-210	0.0129691	0.00600137	-209.981	0.427405
243799	0.00348433	2.21432	41.2357	60.6218	-210	0.0131497	0.0060849	-209.981	0.427403
240450	0.0034843	2.21432	41.2357	60.6218	-210	0.0133329	0.00616959	-209.98	0.427402
237148	0.00348428	2.21432	41.2358	60.6218	-210	0.0135185	0.00625546	-209.98	0.4274
233891	0.00348425	2.21432	41.2358	60.6218	-210	0.0137068	0.00634253	-209.98	0.427398
230679	0.00348423	2.21432	41.2358	60.6218	-210	0.0138976	0.0064308	-209.98	0.427397
227510	0.0034842	2.21432	41.2358	60.6218	-210	0.0140912	0.0065203	-209.979	0.427395
224386	0.00348418	2.21432	41.2358	60.6218	-210	0.0142874	0.00661106	-209.979	0.427393
221304	0.00348415	2.21432	41.2358	60.6218	-210	0.0144864	0.00670307	-209.979	0.427392
218265	0.00348412	2.21432	41.2359	60.6218	-210	0.0146881	0.00679636	-209.979	0.42739
215267	0.0034841	2.21432	41.2359	60.6218	-210	0.0148926	0.00689095	-209.978	0.427388
212310	0.00348407	2.21432	41.2359	60.6218	-210	0.0151	0.00698685	-209.978	0.427386
209394	0.00348404	2.21432	41.2359	60.6218	-210	0.0153103	0.00708409	-209.978	0.427384
206519	0.00348401	2.21432	41.2359	60.6218	-210	0.0155235	0.00718268	-209.977	0.427383
203682	0.00348399	2.21432	41.2359	60.6218	-210	0.0157397	0.00728265	-209.977	0.427381
200885	0.00348396	2.21432	41.236	60.6218	-210	0.0159588	0.007384	-209.977	0.427379
198126	0.00348393	2.21432	41.236	60.6218	-210	0.0161811	0.00748676	-209.976	0.427377
195405	0.0034839	2.21432	41.236	60.6218	-210	0.0164064	0.00759095	-209.976	0.427375
192721	0.00348387	2.21432	41.236	60.6218	-210	0.0166349	0.0076966	-209.976	0.427373
190074	0.00348384	2.21432	41.236	60.6218	-210	0.0168665	0.00780371	-209.975	0.427371
187464	0.00348381	2.21432	41.236	60.6218	-210	0.0171014	0.00791231	-209.975	0.427369
184889	0.00348377	2.21432	41.2361	60.6218	-210	0.0173395	0.00802242	-209.975	0.427367
182350	0.00348374	2.21432	41.2361	60.6218	-210	0.017581	0.00813406	-209.974	0.427365
